,countryWom,code,date,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,country,pdi,idv,mas,uai,ltowvs,ivr,casesPop,logCasesPop,logCasesMPop
28,Portugal,PRT,2020-04-15,18091,599.0,383.0,17109,208.0,1774.0,59.0,208314.0,20430.0,10197858,Portugal,63.0,27.0,31.0,104.0,28.0,33.0,0.0017739999909784977,-6.33451840018015,7.480992162869525
29,Poland,POL,2020-04-15,7582,286.0,668.0,6628,160.0,200.0,8.0,156493.0,4135.0,37910000,Poland,68.0,60.0,64.0,93.0,38.0,29.0,0.0002,-8.517193191416238,5.298317366548036
30,Philippines,PHL,2020-04-15,5453,349.0,353.0,4751,1.0,50.0,3.0,45486.0,415.0,109060000,Philippines,94.0,32.0,64.0,44.0,27.0,42.0,5e-05,-9.903487552536127,3.912023005428146
31,Peru,PER,2020-04-15,11475,254.0,3108.0,8113,146.0,348.0,8.0,109385.0,3318.0,32974138,Peru,64.0,16.0,42.0,87.0,25.0,46.0,0.00034799999927215687,-7.963308080281303,5.8522024797744745
32,Panama,PAN,2020-04-15,3751,103.0,75.0,3573,106.0,869.0,24.0,16854.0,3906.0,4316456,Panama,95.0,11.0,44.0,86.0,,,0.000868999938838714,-7.048167503080111,6.767343125265392
33,Pakistan,PAK,2020-04-15,6383,111.0,1446.0,4826,46.0,29.0,0.5,73439.0,332.0,220103448,Pakistan,55.0,14.0,50.0,70.0,50.0,0.0,2.9000000036346546e-05,-10.448214726724471,3.367295829986474
34,New Zealand,NZL,2020-04-15,1401,9.0,770.0,622,3.0,291.0,2.0,70160.0,14549.0,4814433,New Zealand,22.0,79.0,58.0,49.0,33.0,75.0,0.00029099999937687364,-8.142187292934109,5.673323267171493
35,Nepal,NPL,2020-04-15,16,,1.0,15,,0.5,,15800.0,542.0,32000000,Nepal,65.0,30.0,40.0,40.0,,,5e-07,-14.508657738524219,-0.6931471805599453
36,Norway,NOR,2020-04-15,6798,150.0,32.0,6616,64.0,1254.0,28.0,130216.0,24020.0,5421053,Norway,31.0,69.0,8.0,50.0,35.0,55.0,0.001253999914776705,-6.681416904732571,7.134093721192866
37,Netherlands,NLD,2020-04-15,28153,3134.0,250.0,24769,1279.0,1643.0,183.0,140845.0,8220.0,17135119,Netherlands,38.0,80.0,14.0,53.0,67.0,68.0,0.0016429999698280473,-6.4112314582909455,7.404279118037268
38,Nigeria,NGA,2020-04-15,407,12.0,128.0,267,2.0,2.0,0.06,5000.0,24.0,203500000,Nigeria,80.0,30.0,60.0,55.0,13.0,84.0,2e-06,-13.122363377404328,0.6931471805599453
39,Namibia,NAM,2020-04-15,16,,3.0,13,,6.0,,362.0,142.0,2666667,Namibia,65.0,30.0,40.0,45.0,35.0,,5.999999250000094e-06,-12.023751213736212,1.791759469228055
40,Malaysia,MYS,2020-04-15,5072,83.0,2647.0,2342,56.0,157.0,3.0,87183.0,2694.0,32305732,Malaysia,104.0,26.0,50.0,36.0,41.0,57.0,0.0001570000023525237,-8.759264737631739,5.056245805348308
41,Malawi,MWI,2020-04-15,16,2.0,,14,1.0,0.8,0.1,343.0,18.0,20000000,Malawi,70.0,30.0,40.0,50.0,,,8e-07,-14.038654109278484,-0.2231435513142097
42,Mozambique,MOZ,2020-04-15,29,,2.0,27,,0.9,,793.0,25.0,32222222,Mozambique,85.0,15.0,38.0,44.0,11.0,80.0,9.000000062068966e-07,-13.92087106672555,-0.10536051565782628
43,Montenegro,MNE,2020-04-15,288,4.0,55.0,229,7.0,459.0,6.0,3874.0,6168.0,627451,Montenegro,,,,,75.0,20.0,0.00045899998565625044,-7.686460379153728,6.129050210060545
44,Malta,MLT,2020-04-15,399,3.0,44.0,352,4.0,904.0,7.0,20139.0,45611.0,441372,Malta,56.0,59.0,47.0,96.0,47.0,66.0,0.0009039993474891928,-7.0086819193763485,6.806829360392176
45,Mali,MLI,2020-04-15,148,13.0,34.0,101,,7.0,0.6,,,21142857,Mali,,,,,20.0,43.0,7.000000047297297e-06,-11.869600402152203,1.9459101490553132
46,Macedonia,MKD,2020-04-15,974,45.0,98.0,831,15.0,468.0,22.0,9262.0,4446.0,2081197,Macedonia Rep,,,,,62.0,35.0,0.0004679999058234276,-7.66704246327864,6.148468295917647
47,Mexico,MEX,2020-04-15,5847,449.0,2125.0,3273,207.0,45.0,3.0,40091.0,311.0,129933333,Mexico,81.0,30.0,69.0,82.0,24.0,97.0,4.500000011544382e-05,-10.008848065628536,3.8066624897703196
48,Moldova,MDA,2020-04-15,2049,46.0,171.0,1832,80.0,508.0,11.0,6271.0,1555.0,4033465,Moldova,,,,,71.0,19.0,0.000507999945456326,-7.585029217755235,6.230481447578482
49,Morocco,MAR,2020-04-15,2024,127.0,229.0,1668,1.0,55.0,3.0,10392.0,282.0,36800000,Morocco,70.0,46.0,53.0,68.0,14.0,25.0,5.5e-05,-9.808177372731803,4.007333185232471
50,Latvia,LVA,2020-04-15,666,5.0,44.0,617,3.0,353.0,3.0,29896.0,15850.0,1886686,Latvia,44.0,70.0,9.0,63.0,69.0,13.0,0.0003529999162552751,-7.9490427382681865,5.8664680569332965
51,Luxembourg,LUX,2020-04-15,3373,69.0,526.0,2778,33.0,5388.0,110.0,30723.0,49080.0,626021,Luxembourg,40.0,60.0,50.0,70.0,64.0,56.0,0.005387998166195703,-5.223581360783799,8.591929537530255
52,Lithuania,LTU,2020-04-15,1091,30.0,138.0,923,14.0,401.0,11.0,44677.0,16412.0,2720698,Lithuania,42.0,60.0,19.0,65.0,82.0,16.0,0.00040100003749037933,-7.821549037165491,5.993961427306569
53,Sri Lanka,LKA,2020-04-15,238,7.0,63.0,168,1.0,11.0,0.3,4768.0,223.0,21636364,Sri Lanka,80.0,35.0,10.0,45.0,45.0,,1.0999999815126053e-05,-11.417615301972626,2.3978952727983707
54,Kuwait,KWT,2020-04-15,1405,3.0,206.0,1196,31.0,329.0,0.7,,,4270517,Kuwait,90.0,25.0,40.0,80.0,,,0.00032899997822277726,-8.01945287339107,5.796057750765372
55,South Korea,KOR,2020-04-15,10613,229.0,7757.0,2627,55.0,207.0,4.0,538775.0,10509.0,51270531,Korea South,60.0,18.0,39.0,85.0,100.0,29.0,0.00020700000161886367,-8.482791756878308,5.332718793265369
56,Kyrgyzstan,KGZ,2020-04-15,449,5.0,78.0,366,5.0,69.0,0.8,26147.0,4008.0,6507246,Kyrgyz Rep,,,,,66.0,39.0,6.900000399554589e-05,-9.581403995460555,4.23410650459726
57,Kenya,KEN,2020-04-15,225,10.0,53.0,162,2.0,4.0,0.2,9630.0,179.0,56250000,Kenya,70.0,25.0,60.0,50.0,,,4e-06,-12.429216196844383,1.3862943611198906
58,Japan,JPN,2020-04-15,8626,178.0,901.0,7547,168.0,68.0,1.0,94236.0,745.0,126852941,Japan,54.0,46.0,95.0,92.0,88.0,42.0,6.800000009459772e-05,-9.596002851397024,4.219507705176107
59,Jordan,JOR,2020-04-15,401,7.0,250.0,144,5.0,39.0,0.7,20500.0,2009.0,10282051,Jordan,70.0,30.0,45.0,65.0,16.0,43.0,3.900000106982547e-05,-10.151948884403206,3.6635616461296463
60,Jamaica,JAM,2020-04-15,125,5.0,21.0,99,,42.0,2.0,1391.0,470.0,2976190,Jamaica,45.0,39.0,68.0,13.0,,,4.200000672000107e-05,-10.077840779680892,3.7376696182833684
61,Italy,ITA,2020-04-15,165155,21645.0,38092.0,105418,3079.0,2732.0,358.0,1117404.0,18481.0,60452050,Italy,50.0,76.0,70.0,75.0,61.0,30.0,0.0027319999900747784,-5.902721340906544,7.912789220690681
62,Israel,ISR,2020-04-15,12501,130.0,2563.0,9808,180.0,1444.0,15.0,117339.0,13557.0,8657202,Israel,13.0,54.0,47.0,81.0,38.0,,0.0014440000360393577,-6.540338213553499,7.275172319452771
63,Iceland,ISL,2020-04-15,1727,8.0,1077.0,642,8.0,5061.0,23.0,37386.0,109558.0,341237,Iceland,30.0,60.0,10.0,50.0,28.0,67.0,0.005060998660754842,-5.2861914513708905,8.529319371214077
64,Iraq,IRQ,2020-04-15,1415,79.0,812.0,524,,35.0,2.0,46135.0,1147.0,40428571,Iraq,95.0,30.0,70.0,85.0,25.0,17.0,3.500000037102474e-05,-10.260162485874154,3.5553480614894135
65,Iran,IRN,2020-04-15,76389,4777.0,49933.0,21679,3643.0,909.0,57.0,299204.0,3562.0,84036304,Iran,58.0,41.0,43.0,59.0,14.0,40.0,0.000908999996001728,-7.003165468185334,6.812345094177479
66,Ireland,IRL,2020-04-15,12547,444.0,77.0,12026,158.0,2541.0,90.0,90646.0,18358.0,4937820,Ireland,28.0,70.0,68.0,35.0,24.0,65.0,0.002540999874438517,-5.975197624058311,7.840312983320164
67,India,IND,2020-04-15,12370,422.0,1508.0,10440,,9.0,0.3,274599.0,199.0,1374444444,India,77.0,48.0,56.0,40.0,51.0,26.0,9.000000002910267e-06,-11.618285980304691,2.1972245773362196
68,Indonesia,IDN,2020-04-15,5136,469.0,446.0,4221,,19.0,2.0,36000.0,132.0,270315789,Indonesia,78.0,14.0,46.0,48.0,62.0,38.0,1.9000000033294393e-05,-10.871071577045496,2.9444389791664403
69,Hungary,HUN,2020-04-15,1579,134.0,192.0,1253,58.0,163.0,14.0,37326.0,3864.0,9687117,Hungary,46.0,80.0,88.0,82.0,58.0,31.0,0.000162999992670678,-8.721760402122678,5.093750200806762
70,Croatia,HRV,2020-04-15,1741,33.0,473.0,1235,31.0,424.0,8.0,19256.0,4691.0,4106132,Croatia,73.0,33.0,40.0,80.0,58.0,33.0,0.00042400000779322245,-7.765777084352075,6.049733455231958
71,Honduras,HND,2020-04-15,426,35.0,9.0,382,10.0,43.0,4.0,1600.0,162.0,9906977,Honduras,80.0,20.0,40.0,50.0,,,4.299999888967139e-05,-10.054310468092307,3.7612001156935624
